Loading data...
Computing updates...
Compiling functions...
Training...
Epoch 236 took 74.8108091354, cost = 0.0471527930349, error = 0.206673526385
Epoch 237 took 74.8382470608, cost = 0.0459679365158, error = 0.201528737322
Epoch 238 took 74.8156890869, cost = 0.0449139419943, error = 0.196971924151
Epoch 239 took 74.843421936, cost = 0.045674437657, error = 0.198368366897
Epoch 240 took 74.7926161289, cost = 0.0449263658375, error = 0.196824930178
Epoch 241 took 74.8145520687, cost = 0.045020127669, error = 0.196457445245
Epoch 242 took 74.815089941, cost = 0.0456223357469, error = 0.196677936205
Epoch 243 took 74.7237539291, cost = 0.0456729009748, error = 0.195648978392
Epoch 244 took 74.6264169216, cost = 0.0451058782637, error = 0.195575481405
Epoch 245 took 74.6650109291, cost = 0.0446240417659, error = 0.197045421138
Epoch 246 took 74.6425828934, cost = 0.0452038478106, error = 0.198662354843
Epoch 247 took 74.6630728245, cost = 0.0444961190224, error = 0.195428487432
Epoch 248 took 74.6118209362, cost = 0.0442846510559, error = 0.195428487432
Epoch 249 took 74.6615259647, cost = 0.0440876055509, error = 0.195648978392
Epoch 250 took 74.7223169804, cost = 0.0455264821649, error = 0.197412906071
Epoch 251 took 74.8665208817, cost = 0.0453710742295, error = 0.19917683375
Epoch 252 took 74.8066458702, cost = 0.044245434925, error = 0.196236954285
Epoch 253 took 74.8531529903, cost = 0.0455723088235, error = 0.200132294576
Epoch 254 took 74.8371818066, cost = 0.0446306169033, error = 0.195501984419
Epoch 255 took 74.8277151585, cost = 0.0442708954215, error = 0.192709098927
Epoch 256 took 74.7795090675, cost = 0.0443817228079, error = 0.194546523593
Epoch 257 took 74.8375308514, cost = 0.0436743311584, error = 0.193444068793
Epoch 258 took 74.8139810562, cost = 0.0445337109268, error = 0.196898427164
Epoch 259 took 74.8557720184, cost = 0.0461242683232, error = 0.199470821696
Epoch 260 took 74.8385407925, cost = 0.0453320797533, error = 0.19895634279
Epoch 261 took 74.8154621124, cost = 0.0453005004674, error = 0.197192415111
Epoch 262 took 74.7541999817, cost = 0.0448439400643, error = 0.197265912098
Epoch 263 took 74.7505249977, cost = 0.0444512013346, error = 0.195575481405
Epoch 264 took 74.8011660576, cost = 0.0456654336303, error = 0.199323827723
Epoch 265 took 74.8198649883, cost = 0.0461814980954, error = 0.19873585183
Epoch 266 took 74.8257908821, cost = 0.0463912244886, error = 0.199985300603
Epoch 267 took 74.8379077911, cost = 0.0457487758249, error = 0.200132294576
Epoch 268 took 74.8338470459, cost = 0.0458612926304, error = 0.19829486991
Epoch 269 took 74.8478989601, cost = 0.0473396666348, error = 0.203219168014
Epoch 270 took 74.822191, cost = 0.0454223174602, error = 0.197853887991
Epoch 271 took 74.7142498493, cost = 0.0470684040338, error = 0.207702484198
Epoch 272 took 74.670238018, cost = 0.0440511330962, error = 0.196236954285
Epoch 273 took 74.6901068687, cost = 0.0453213956207, error = 0.201308246362
Epoch 274 took 74.6437489986, cost = 0.0460415147245, error = 0.201896222255
Epoch 275 took 74.6565959454, cost = 0.0462839715183, error = 0.19917683375
Epoch 276 took 74.7660911083, cost = 0.0455395020545, error = 0.197412906071
Epoch 277 took 74.861137867, cost = 0.0458532609046, error = 0.197486403057
Epoch 278 took 74.7994098663, cost = 0.0452767685056, error = 0.196824930178
Epoch 279 took 74.8552949429, cost = 0.0463472064584, error = 0.199323827723
Epoch 280 took 74.8232109547, cost = 0.0464358665049, error = 0.19939732471
Epoch 281 took 74.8424990177, cost = 0.0459790248424, error = 0.201308246362
Epoch 282 took 74.8129658699, cost = 0.0448246058077, error = 0.197780391004
Epoch 283 took 74.719974041, cost = 0.045750297606, error = 0.204762604733
Epoch 284 took 74.6309940815, cost = 0.0472670309246, error = 0.215199176834
Epoch 285 took 74.6600289345, cost = 0.0447175819427, error = 0.199029839777
Epoch 286 took 74.627366066, cost = 0.0452380552888, error = 0.199691312656
Epoch 287 took 74.6709599495, cost = 0.0446875542402, error = 0.200132294576
Epoch 288 took 74.8188331127, cost = 0.0450718924403, error = 0.201161252389
Epoch 289 took 74.8378918171, cost = 0.0449045039713, error = 0.201161252389
Epoch 290 took 74.8159861565, cost = 0.0455761570483, error = 0.201602234308
Epoch 291 took 74.8398251534, cost = 0.0466601923108, error = 0.205130089666
Epoch 292 took 74.8225479126, cost = 0.0459732618183, error = 0.201087755402
Epoch 293 took 74.8554048538, cost = 0.0443540029228, error = 0.194252535646
Epoch 294 took 74.7838308811, cost = 0.0458913426846, error = 0.196457445245
Epoch 295 took 74.6476120949, cost = 0.047089420259, error = 0.203807143907
Epoch 296 took 74.8014011383, cost = 0.0458076484501, error = 0.199029839777
Epoch 297 took 74.8318459988, cost = 0.0452851057053, error = 0.196089960312
Epoch 298 took 74.8285470009, cost = 0.044981688261, error = 0.194620020579
Epoch 299 took 74.8336620331, cost = 0.0449871700257, error = 0.192341613994
Epoch 300 took 74.8683729172, cost = 0.045633347705, error = 0.196457445245
Epoch 301 took 74.8644270897, cost = 0.0461397562176, error = 0.197192415111
Epoch 302 took 74.8363602161, cost = 0.0453957095742, error = 0.196457445245
Epoch 303 took 74.7717571259, cost = 0.0450811032206, error = 0.194767014552
Epoch 304 took 74.771201849, cost = 0.0462175309658, error = 0.196383948258
Epoch 305 took 74.8589570522, cost = 0.0459386762232, error = 0.19851536087
Epoch 306 took 74.8092958927, cost = 0.046368919313, error = 0.199103336763
Epoch 307 took 74.8194248676, cost = 0.0470447000116, error = 0.201161252389
Epoch 308 took 74.6292212009, cost = 0.0454698763788, error = 0.206232544466
Epoch 309 took 74.640805006, cost = 0.0463682580739, error = 0.204542113773
Epoch 310 took 74.6140258312, cost = 0.0459757074714, error = 0.200426282522
Epoch 311 took 74.6359658241, cost = 0.0450299121439, error = 0.202851683081
Epoch 312 took 74.6375770569, cost = 0.0454641189426, error = 0.202043216228
Epoch 313 took 74.8533549309, cost = 0.0442824568599, error = 0.196530942231
Epoch 314 took 74.8058819771, cost = 0.043803140521, error = 0.191974129061
Epoch 315 took 74.8118169308, cost = 0.0443596336991, error = 0.194326032633
Epoch 316 took 74.8028440475, cost = 0.0439243838191, error = 0.188519770689
Epoch 317 took 74.823196888, cost = 0.0449679642916, error = 0.193811553726
Epoch 318 took 74.8004899025, cost = 0.0461787525564, error = 0.190871674261
